borough,earning
Barking and Dagenham,643.4
Barnet,685.2
Bexley,709.4
Brent,623.8
Bromley,787.1
Camden,785.7
Croydon,707.8
Ealing,670.7
Enfield,670.4
Greenwich,740
Hackney,705.3
Hammersmith and Fulham,782.9
Haringey,703.1
Harrow,748.6
Havering,705.4
Hillingdon,697.5
Hounslow,675.2
Islington,774.7
Kensington and Chelsea,976.2
Kingston upon Thames,766.6
Lambeth,746.4
Lewisham,721.4
Merton,681.7
Newham,677.6
Redbridge,732.4
Richmond upon Thames,812.5
Southwark,724.1
Sutton,695.8
Tower Hamlets,797.3
Waltham Forest,727.7
Wandsworth,842.9
Westminster,841.8
