GSSCode,month,dwellings,borough,monthName
E09000002,7,1735,Barking and Dagenham,July
E09000003,7,2277,Barnet,July
E09000004,7,1280,Bexley,July
E09000005,7,2660,Brent,July
E09000006,7,1929,Bromley,July
E09000007,7,2595,Camden,July
E09000008,7,2850,Croydon,July
E09000009,7,2550,Ealing,July
E09000010,7,2400,Enfield,July
E09000011,7,2320,Greenwich,July
E09000012,7,2765,Hackney,July
E09000013,7,1875,Hammersmith and Fulham,July
E09000014,7,2637,Haringey,July
E09000015,7,1424,Harrow,July
E09000016,7,1580,Havering,July
E09000017,7,2056,Hillingdon,July
E09000018,7,2092,Hounslow,July
E09000019,7,2257,Islington,July
E09000020,7,1625,Kensington and Chelsea,July
E09000021,7,1101,Kingston upon Thames,July
E09000022,7,2925,Lambeth,July
E09000023,7,2370,Lewisham,July
E09000024,7,1134,Merton,July
E09000025,7,2961,Newham,July
E09000026,7,2173,Redbridge,July
E09000027,7,954,Richmond upon Thames,July
E09000028,7,2916,Southwark,July
E09000029,7,1140,Sutton,July
E09000030,7,2996,Tower Hamlets,July
E09000031,7,1943,Waltham Forest,July
E09000032,7,2265,Wandsworth,July
E09000033,7,5092,Westminster,July
E09000002,8,1626,Barking and Dagenham,August
E09000003,8,2188,Barnet,August
