GSSCode,year,crimeRate,borough,monthName
E09000002,1,1835,Barking and Dagenham,January
E09000003,1,2450,Barnet,January
E09000004,1,1381,Bexley,January
E09000005,1,2498,Brent,January
E09000006,1,1852,Bromley,January
E09000007,1,3007,Camden,January
E09000008,1,2697,Croydon,January
E09000009,1,2558,Ealing,January
E09000010,1,2690,Enfield,January
E09000011,1,2319,Greenwich,January
E09000012,1,2507,Hackney,January
E09000013,1,1693,Hammersmith and Fulham,January
E09000014,1,2596,Haringey,January
E09000015,1,1344,Harrow,January
E09000016,1,1763,Havering,January
E09000017,1,2040,Hillingdon,January
E09000018,1,2074,Hounslow,January
E09000019,1,2373,Islington,January
E09000020,1,1728,Kensington and Chelsea,January
E09000021,1,1041,Kingston upon Thames,January
E09000022,1,2902,Lambeth,January
E09000023,1,2421,Lewisham,January
E09000024,1,1138,Merton,January
E09000025,1,3035,Newham,January
E09000026,1,1998,Redbridge,January
E09000027,1,960,Richmond upon Thames,January
E09000028,1,2937,Southwark,January
E09000029,1,1164,Sutton,January
E09000030,1,3004,Tower Hamlets,January
E09000031,1,1821,Waltham Forest,January
E09000032,1,1978,Wandsworth,January
E09000033,1,7731,Westminster,January
E09000002,2,1788,Barking and Dagenham,February
E09000003,2,2203,Barnet,February
E09000004,2,1325,Bexley,February
E09000005,2,2364,Brent,February
E09000006,2,1800,Bromley,February
E09000007,2,2962,Camden,February
E09000008,2,2494,Croydon,February
E09000009,2,2564,Ealing,February
E09000010,2,2293,Enfield,February
E09000011,2,2250,Greenwich,February
E09000012,2,2397,Hackney,February
E09000013,2,1686,Hammersmith and Fulham,February
E09000014,2,2359,Haringey,February
E09000015,2,1319,Harrow,February
E09000016,2,1622,Havering,February
E09000017,2,1993,Hillingdon,February
E09000018,2,2018,Hounslow,February
E09000019,2,2146,Islington,February
E09000020,2,1558,Kensington and Chelsea,February
E09000021,2,1003,Kingston upon Thames,February
E09000022,2,2669,Lambeth,February
E09000023,2,2322,Lewisham,February
E09000024,2,1014,Merton,February
E09000025,2,2896,Newham,February
E09000026,2,1941,Redbridge,February
E09000027,2,963,Richmond upon Thames,February
E09000028,2,2830,Southwark,February
E09000029,2,1085,Sutton,February
E09000030,2,2804,Tower Hamlets,February
E09000031,2,1700,Waltham Forest,February
E09000032,2,1984,Wandsworth,February
E09000033,2,7169,Westminster,February
E09000002,3,1937,Barking and Dagenham,March
E09000003,3,2538,Barnet,March
E09000004,3,1441,Bexley,March
E09000005,3,2729,Brent,March
E09000006,3,2069,Bromley,March
E09000007,3,3506,Camden,March
E09000008,3,2861,Croydon,March
E09000009,3,2775,Ealing,March
E09000010,3,2701,Enfield,March
E09000011,3,2576,Greenwich,March
E09000012,3,2773,Hackney,March
E09000013,3,1994,Hammersmith and Fulham,March
E09000014,3,2791,Haringey,March
E09000015,3,1431,Harrow,March
E09000016,3,1816,Havering,March
E09000017,3,2063,Hillingdon,March
E09000018,3,2240,Hounslow,March
E09000019,3,2569,Islington,March
E09000020,3,1837,Kensington and Chelsea,March
E09000021,3,1157,Kingston upon Thames,March
E09000022,3,2940,Lambeth,March
E09000023,3,2555,Lewisham,March
E09000024,3,1145,Merton,March
E09000025,3,3232,Newham,March
E09000026,3,2085,Redbridge,March
E09000027,3,1095,Richmond upon Thames,March
E09000028,3,3094,Southwark,March
E09000029,3,1077,Sutton,March
E09000030,3,3186,Tower Hamlets,March
E09000031,3,2032,Waltham Forest,March
E09000032,3,2188,Wandsworth,March
E09000033,3,7384,Westminster,March
E09000002,4,1795,Barking and Dagenham,April
E09000003,4,2254,Barnet,April
E09000004,4,1352,Bexley,April
E09000005,4,2563,Brent,April
E09000006,4,1877,Bromley,April
E09000007,4,3345,Camden,April
E09000008,4,2574,Croydon,April
E09000009,4,2416,Ealing,April
E09000010,4,2373,Enfield,April
E09000011,4,2362,Greenwich,April
E09000012,4,2468,Hackney,April
E09000013,4,1899,Hammersmith and Fulham,April
E09000014,4,2464,Haringey,April
E09000015,4,1314,Harrow,April
E09000016,4,1673,Havering,April
E09000017,4,1802,Hillingdon,April
E09000018,4,2090,Hounslow,April
E09000019,4,2465,Islington,April
E09000020,4,1781,Kensington and Chelsea,April
E09000021,4,1011,Kingston upon Thames,April
E09000022,4,2985,Lambeth,April
E09000023,4,2430,Lewisham,April
E09000024,4,1116,Merton,April
E09000025,4,3015,Newham,April
E09000026,4,1996,Redbridge,April
E09000027,4,952,Richmond upon Thames,April
E09000028,4,2900,Southwark,April
E09000029,4,1016,Sutton,April
E09000030,4,2999,Tower Hamlets,April
E09000031,4,1754,Waltham Forest,April
E09000032,4,2097,Wandsworth,April
E09000033,4,6930,Westminster,April
E09000002,5,1992,Barking and Dagenham,May
E09000003,5,2475,Barnet,May
E09000004,5,1433,Bexley,May
E09000005,5,2806,Brent,May
E09000006,5,2057,Bromley,May
E09000007,5,3516,Camden,May
E09000008,5,2857,Croydon,May
E09000009,5,2890,Ealing,May
E09000010,5,2585,Enfield,May
E09000011,5,2599,Greenwich,May
E09000012,5,2713,Hackney,May
E09000013,5,2093,Hammersmith and Fulham,May
E09000014,5,2549,Haringey,May
E09000015,5,1448,Harrow,May
E09000016,5,1750,Havering,May
E09000017,5,2159,Hillingdon,May
E09000018,5,2384,Hounslow,May
E09000019,5,2514,Islington,May
E09000020,5,2009,Kensington and Chelsea,May
E09000021,5,1141,Kingston upon Thames,May
E09000022,5,3127,Lambeth,May
E09000023,5,2598,Lewisham,May
E09000024,5,1205,Merton,May
E09000025,5,3207,Newham,May
E09000026,5,2191,Redbridge,May
E09000027,5,1076,Richmond upon Thames,May
E09000028,5,3384,Southwark,May
E09000029,5,1083,Sutton,May
E09000030,5,3049,Tower Hamlets,May
E09000031,5,1896,Waltham Forest,May
E09000032,5,2453,Wandsworth,May
E09000033,5,7336,Westminster,May
E09000002,6,2018,Barking and Dagenham,June
E09000003,6,2485,Barnet,June
E09000004,6,1414,Bexley,June
E09000005,6,2887,Brent,June
E09000006,6,2082,Bromley,June
E09000007,6,3572,Camden,June
E09000008,6,3121,Croydon,June
E09000009,6,2773,Ealing,June
E09000010,6,2567,Enfield,June
E09000011,6,2693,Greenwich,June
E09000012,6,2933,Hackney,June
E09000013,6,2039,Hammersmith and Fulham,June
E09000014,6,2705,Haringey,June
E09000015,6,1496,Harrow,June
E09000016,6,1862,Havering,June
E09000017,6,2257,Hillingdon,June
E09000018,6,2415,Hounslow,June
E09000019,6,2569,Islington,June
E09000020,6,2060,Kensington and Chelsea,June
E09000021,6,1164,Kingston upon Thames,June
E09000022,6,3265,Lambeth,June
E09000023,6,2848,Lewisham,June
E09000024,6,1265,Merton,June
E09000025,6,3468,Newham,June
E09000026,6,2168,Redbridge,June
E09000027,6,1012,Richmond upon Thames,June
E09000028,6,3602,Southwark,June
E09000029,6,1217,Sutton,June
E09000030,6,3111,Tower Hamlets,June
E09000031,6,2078,Waltham Forest,June
E09000032,6,2455,Wandsworth,June
E09000033,6,7601,Westminster,June
